Real estate info,Real Estate Size(M^2),Real estate location,Price per M^2(mill),Total Price(bill),location
"Mở bán quỹ ngoại giao biệt thự Vinhome Cổ Loa view đẹp từ 15,6 tỷ căn 63m2, 75m2... Tặng 5 cây vàng",63,"Đông Anh, Hà Nội","248,62 ",15.66,Đông Anh
"Ban quản lý dự án Vinhomes quỹ căn tháng 2 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",43,"Gia Lâm, Hà Nội","48,84 ",2.1,Gia Lâm
"Quỹ căn stu,1-3PN chính chủ view đẹp giá rẻ cắt lỗ, pháp lý rõ ràng miễn phí MG tại Vin Oceanpark",59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
"Quỹ ngoại giao cặp căn biệt thự view công viên và cặp liền kề view hồ Vinhomes Cổ Loa, có bán lẻ",136,"Đông Anh, Hà Nội","352,94 ",48,Đông Anh
Văn phòng bán hàng cập nhật quỹ căn tốt nhất thị trường tại Vinhomes Ocean Park. LH 0904 607 ***,59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
"Quỹ hàng mới, quỹ thưởng cập nhật liên tục tại Vinhomes Cổ Loa mua trực tiếp CĐT miễn lãi 36 tháng",63,"Đông Anh, Hà Nội","238,1 ",15,Đông Anh
"Chính chủ cần bán gấp nhà liền kề Geleximco khu A 120m2 đường rộng, view thoáng, giá 22 tỷ",120,"Hoài Đức, Hà Nội","183,33 ",22,Hoài Đức
"Bán gấp biệt thự Vin Cổ Loa 130m2, 36 tỷ, mặt tiền 20m, mặt đường 69m",130,"Đông Anh, Hà Nội","276,92 ",36,Đông Anh
Chuyển nhượng căn hộ Sunshine Garden quỹ căn đa dạng giá tốt nhất cho khách ở thực. Em Tuấn Anh,108,"Hai Bà Trưng, Hà Nội","62,22 ",6.72,Hai Bà Trưng
Danh sách căn hộ 1 - 4 ngủ bán rẻ nhất Times City Tháng 02/2025 LH 0906 289 ***,95,"Hai Bà Trưng, Hà Nội","73,68 ",7,Hai Bà Trưng
"Tổng hợp biệt thự, liền kề - shophouse đẹp nhất tại Vinhomes Cổ Loa. Tặng xe VF5,7. LH 0931 368 ***",63,"Đông Anh, Hà Nội","229,36 ",14.45,Đông Anh
"[HOT 1/2025] Bảng Hàng LK - BT - SH Giá Tốt Nhất GELEXIMCO hôm nay (60m2, 100m2, 120m2, 200m2)",100,"Hà Đông, Hà Nội",140,14,Hà Đông
"Chính chủ cần bán lô đất 1510m2. ĐẦU TƯ NHÀ VƯỜN, BIỆT THỰ",1.51,"Quốc Oai, Hà Nội","8,8 ",13.29,Quốc Oai
"Bán biệt thự view đẹp tại Vinhomes Cổ Loa, 16,3 tỷ, 62,5m2, Đông Anh, Hà Nội","62,5 ","Đông Anh, Hà Nội","254,72 ",15.92,Đông Anh
"Khai xuân quỹ shophouse 55m2 giá 10 tỷ (cho thuê 60tr/ tháng)ký trực tiếp Vinhomes, sổ đỏ lâu dài",55,"Nam Từ Liêm, Hà Nội","181,82 ",10,Nam Từ Liêm
"Bán nhà Võ Chí Công 45m2, 5 tầng, 6. X tỷ Cầu Giấy",45,"Cầu Giấy, Hà Nội","146,67 ",6.6,Cầu Giấy
Bán gấp lô shophouse chân đế dự án Ecohome 3,"126,9 ","Bắc Từ Liêm, Hà Nội",55,6.98,Bắc Từ Liêm
Top 1! Biệt thự đơn lập góc giá tốt nhất tại Ngọc Trai Vinhomes Ocean Park Gia Lâm.LH 0967 510 ***,227,"Gia Lâm, Hà Nội","286,34 ",65,Gia Lâm
"Tổng hợp các căn rẻ đẹp nhất dự án Vinhomes Cổ Loa, thuê lại 6%/1 năm, chiết khấu cao nhất","62,5 ","Đông Anh, Hà Nội","259,2 ",16.2,Đông Anh
"Chủ nhà, bán nhà KDT Đại Kim Dãy C1 nhà số 32 - 33 duy nhất - Xây tòa văn phòng, LH: 0912 639 ***",108,"Hoàng Mai, Hà Nội","416,67 ",45,Hoàng Mai
"Quỹ căn ngoại giao siêu vip nhà phố, liền kề, shophouse, biệt thự view hồ Vinhomes Cổ Loa","62,5 ","Đông Anh, Hà Nội","380,42 ",23.78,Đông Anh
"Bán nhà mặt phố Quận Ba Đình phố 2 chiều kinh doanh, có vỉa hè. Giá chỉ 410 tr/m2, sổ đỏ nở hậu",220,"Ba Đình, Hà Nội",410,90.2,Ba Đình
"Quỹ căn liền kề, biệt thự song lập, đơn lập giá tốt nhất tại Hud Mê Linh Central TT 30%, bank HT70%",300,"Mê Linh, Hà Nội",60,18,Mê Linh
Quỹ căn biệt thự Vinhomes Ocean Park T2/2025 - Giá tốt - Vị trí đẹp,"148,5 ","Gia Lâm, Hà Nội","193,94 ",28.8,Gia Lâm
"Bán nhà Tân Mai ngõ ô tô tránh, KD đỉnh, 30m2 x 5 tầng, giá nhỉnh 4 tỷ",30,"Hoàng Mai, Hà Nội","163,33 ",4.9,Hoàng Mai
"CĐT Nam Cường mở bán BT Solasta mặt đường lớn - Chiết khấu 13%, diện tích 170m2 giá 26.5 tỷ",170,"Hà Đông, Hà Nội","155,88 ",26.5,Hà Đông
"MỞ BÁN BIỆT THỰ LIỀN KỀ GÓC, TIỀM NĂNG TĂNG GIÁ CAO KHU CÁT TƯỜNG - VINHOMES CỔ LOA","139,2 ","Đông Anh, Hà Nội","350,58 ",48.8,Đông Anh
"Chỉ cần 552tr sở hữu ngay căn hộ 1n+ có thể thiết kế thành 2N, tiến độ thanh toán dãn 2-4 năm","48,2 ","Gia Lâm, Hà Nội","68,44 ",3.3,Gia Lâm
"Bán căn mặt hồ Ngọc Trai 1, dự án Vinhomes Ocean Park, Gia Lâm, hàng VIP dành cho giới tài phiệt",306,"Gia Lâm, Hà Nội","457,52 ",140,Gia Lâm
"Mở bán quỹ ngoại giao biệt thự Vinhome Cổ Loa view đẹp từ 15,6 tỷ căn 63m2, 75m2... Tặng 5 cây vàng",63,"Đông Anh, Hà Nội","248,62 ",15.66,Đông Anh
"Ban quản lý dự án Vinhomes quỹ căn tháng 2 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",43,"Gia Lâm, Hà Nội","48,84 ",2.1,Gia Lâm
"Quỹ căn stu,1-3PN chính chủ view đẹp giá rẻ cắt lỗ, pháp lý rõ ràng miễn phí MG tại Vin Oceanpark",59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
Bán gấp lô shophouse chân đế dự án Ecohome 3,"126,9 ","Bắc Từ Liêm, Hà Nội",55,6.98,Bắc Từ Liêm
"Quỹ ngoại giao cặp căn biệt thự view công viên và cặp liền kề view hồ Vinhomes Cổ Loa, có bán lẻ",136,"Đông Anh, Hà Nội","352,94 ",48,Đông Anh
Văn phòng bán hàng cập nhật quỹ căn tốt nhất thị trường tại Vinhomes Ocean Park. LH 0904 607 ***,59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
"Quỹ hàng mới, quỹ thưởng cập nhật liên tục tại Vinhomes Cổ Loa mua trực tiếp CĐT miễn lãi 36 tháng",63,"Đông Anh, Hà Nội","238,1 ",15,Đông Anh
"Chính chủ cần bán gấp nhà liền kề Geleximco khu A 120m2 đường rộng, view thoáng, giá 22 tỷ",120,"Hoài Đức, Hà Nội","183,33 ",22,Hoài Đức
"Bán gấp biệt thự Vin Cổ Loa 130m2, 36 tỷ, mặt tiền 20m, mặt đường 69m",130,"Đông Anh, Hà Nội","276,92 ",36,Đông Anh
Chuyển nhượng căn hộ Sunshine Garden quỹ căn đa dạng giá tốt nhất cho khách ở thực. Em Tuấn Anh,108,"Hai Bà Trưng, Hà Nội","62,22 ",6.72,Hai Bà Trưng
Danh sách căn hộ 1 - 4 ngủ bán rẻ nhất Times City Tháng 02/2025 LH 0906 289 ***,95,"Hai Bà Trưng, Hà Nội","73,68 ",7,Hai Bà Trưng
"Tổng hợp biệt thự, liền kề - shophouse đẹp nhất tại Vinhomes Cổ Loa. Tặng xe VF5,7. LH 0931 368 ***",63,"Đông Anh, Hà Nội","229,36 ",14.45,Đông Anh
"[HOT 1/2025] Bảng Hàng LK - BT - SH Giá Tốt Nhất GELEXIMCO hôm nay (60m2, 100m2, 120m2, 200m2)",100,"Hà Đông, Hà Nội",140,14,Hà Đông
"Chính chủ cần bán lô đất 1510m2. ĐẦU TƯ NHÀ VƯỜN, BIỆT THỰ",1.51,"Quốc Oai, Hà Nội","8,8 ",13.29,Quốc Oai
"Bán biệt thự view đẹp tại Vinhomes Cổ Loa, 16,3 tỷ, 62,5m2, Đông Anh, Hà Nội","62,5 ","Đông Anh, Hà Nội","254,72 ",15.92,Đông Anh
"Khai xuân quỹ shophouse 55m2 giá 10 tỷ (cho thuê 60tr/ tháng)ký trực tiếp Vinhomes, sổ đỏ lâu dài",55,"Nam Từ Liêm, Hà Nội","181,82 ",10,Nam Từ Liêm
"Bán nhà Võ Chí Công 45m2, 5 tầng, 6. X tỷ Cầu Giấy",45,"Cầu Giấy, Hà Nội","146,67 ",6.6,Cầu Giấy
Bán gấp lô shophouse chân đế dự án Ecohome 3,"126,9 ","Bắc Từ Liêm, Hà Nội",55,6.98,Bắc Từ Liêm
Top 1! Biệt thự đơn lập góc giá tốt nhất tại Ngọc Trai Vinhomes Ocean Park Gia Lâm.LH 0967 510 ***,227,"Gia Lâm, Hà Nội","286,34 ",65,Gia Lâm
"Tổng hợp các căn rẻ đẹp nhất dự án Vinhomes Cổ Loa, thuê lại 6%/1 năm, chiết khấu cao nhất","62,5 ","Đông Anh, Hà Nội","259,2 ",16.2,Đông Anh
"Chủ nhà, bán nhà KDT Đại Kim Dãy C1 nhà số 32 - 33 duy nhất - Xây tòa văn phòng, LH: 0912 639 ***",108,"Hoàng Mai, Hà Nội","416,67 ",45,Hoàng Mai
"Quỹ căn ngoại giao siêu vip nhà phố, liền kề, shophouse, biệt thự view hồ Vinhomes Cổ Loa","62,5 ","Đông Anh, Hà Nội","380,42 ",23.78,Đông Anh
"Bán nhà mặt phố Quận Ba Đình phố 2 chiều kinh doanh, có vỉa hè. Giá chỉ 410 tr/m2, sổ đỏ nở hậu",220,"Ba Đình, Hà Nội",410,90.2,Ba Đình
"Quỹ căn liền kề, biệt thự song lập, đơn lập giá tốt nhất tại Hud Mê Linh Central TT 30%, bank HT70%",300,"Mê Linh, Hà Nội",60,18,Mê Linh
Quỹ căn biệt thự Vinhomes Ocean Park T2/2025 - Giá tốt - Vị trí đẹp,"148,5 ","Gia Lâm, Hà Nội","193,94 ",28.8,Gia Lâm
"Bán nhà Tân Mai ngõ ô tô tránh, KD đỉnh, 30m2 x 5 tầng, giá nhỉnh 4 tỷ",30,"Hoàng Mai, Hà Nội","163,33 ",4.9,Hoàng Mai
"CĐT Nam Cường mở bán BT Solasta mặt đường lớn - Chiết khấu 13%, diện tích 170m2 giá 26.5 tỷ",170,"Hà Đông, Hà Nội","155,88 ",26.5,Hà Đông
"MỞ BÁN BIỆT THỰ LIỀN KỀ GÓC, TIỀM NĂNG TĂNG GIÁ CAO KHU CÁT TƯỜNG - VINHOMES CỔ LOA","139,2 ","Đông Anh, Hà Nội","350,58 ",48.8,Đông Anh
"Chỉ cần 552tr sở hữu ngay căn hộ 1n+ có thể thiết kế thành 2N, tiến độ thanh toán dãn 2-4 năm","48,2 ","Gia Lâm, Hà Nội","68,44 ",3.3,Gia Lâm
"Bán căn mặt hồ Ngọc Trai 1, dự án Vinhomes Ocean Park, Gia Lâm, hàng VIP dành cho giới tài phiệt",306,"Gia Lâm, Hà Nội","457,52 ",140,Gia Lâm
"Mở bán quỹ ngoại giao biệt thự Vinhome Cổ Loa view đẹp từ 15,6 tỷ căn 63m2, 75m2... Tặng 5 cây vàng",63,"Đông Anh, Hà Nội","248,62 ",15.66,Đông Anh
"Ban quản lý dự án Vinhomes quỹ căn tháng 2 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",43,"Gia Lâm, Hà Nội","48,84 ",2.1,Gia Lâm
"Quỹ căn stu,1-3PN chính chủ view đẹp giá rẻ cắt lỗ, pháp lý rõ ràng miễn phí MG tại Vin Oceanpark",59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
Bán gấp lô shophouse chân đế dự án Ecohome 3,"126,9 ","Bắc Từ Liêm, Hà Nội",55,6.98,Bắc Từ Liêm
"Quỹ ngoại giao cặp căn biệt thự view công viên và cặp liền kề view hồ Vinhomes Cổ Loa, có bán lẻ",136,"Đông Anh, Hà Nội","352,94 ",48,Đông Anh
Văn phòng bán hàng cập nhật quỹ căn tốt nhất thị trường tại Vinhomes Ocean Park. LH 0904 607 ***,59,"Gia Lâm, Hà Nội","44,92 ",2.65,Gia Lâm
"Quỹ hàng mới, quỹ thưởng cập nhật liên tục tại Vinhomes Cổ Loa mua trực tiếp CĐT miễn lãi 36 tháng",63,"Đông Anh, Hà Nội","238,1 ",15,Đông Anh
"Chính chủ cần bán gấp nhà liền kề Geleximco khu A 120m2 đường rộng, view thoáng, giá 22 tỷ",120,"Hoài Đức, Hà Nội","183,33 ",22,Hoài Đức
"Bán gấp biệt thự Vin Cổ Loa 130m2, 36 tỷ, mặt tiền 20m, mặt đường 69m",130,"Đông Anh, Hà Nội","276,92 ",36,Đông Anh
Chuyển nhượng căn hộ Sunshine Garden quỹ căn đa dạng giá tốt nhất cho khách ở thực. Em Tuấn Anh,108,"Hai Bà Trưng, Hà Nội","62,22 ",6.72,Hai Bà Trưng
Danh sách căn hộ 1 - 4 ngủ bán rẻ nhất Times City Tháng 02/2025 LH 0906 289 ***,95,"Hai Bà Trưng, Hà Nội","73,68 ",7,Hai Bà Trưng
"Tổng hợp biệt thự, liền kề - shophouse đẹp nhất tại Vinhomes Cổ Loa. Tặng xe VF5,7. LH 0931 368 ***",63,"Đông Anh, Hà Nội","229,36 ",14.45,Đông Anh
"[HOT 1/2025] Bảng Hàng LK - BT - SH Giá Tốt Nhất GELEXIMCO hôm nay (60m2, 100m2, 120m2, 200m2)",100,"Hà Đông, Hà Nội",140,14,Hà Đông
"Chính chủ cần bán lô đất 1510m2. ĐẦU TƯ NHÀ VƯỜN, BIỆT THỰ",1.51,"Quốc Oai, Hà Nội","8,8 ",13.29,Quốc Oai
"Bán biệt thự view đẹp tại Vinhomes Cổ Loa, 16,3 tỷ, 62,5m2, Đông Anh, Hà Nội","62,5 ","Đông Anh, Hà Nội","254,72 ",15.92,Đông Anh
"Khai xuân quỹ shophouse 55m2 giá 10 tỷ (cho thuê 60tr/ tháng)ký trực tiếp Vinhomes, sổ đỏ lâu dài",55,"Nam Từ Liêm, Hà Nội","181,82 ",10,Nam Từ Liêm
"Bán nhà Võ Chí Công 45m2, 5 tầng, 6. X tỷ Cầu Giấy",45,"Cầu Giấy, Hà Nội","146,67 ",6.6,Cầu Giấy
Top 1! Biệt thự đơn lập góc giá tốt nhất tại Ngọc Trai Vinhomes Ocean Park Gia Lâm.LH 0967 510 ***,227,"Gia Lâm, Hà Nội","286,34 ",65,Gia Lâm
"Tổng hợp các căn rẻ đẹp nhất dự án Vinhomes Cổ Loa, thuê lại 6%/1 năm, chiết khấu cao nhất","62,5 ","Đông Anh, Hà Nội","259,2 ",16.2,Đông Anh
"Chủ nhà, bán nhà KDT Đại Kim Dãy C1 nhà số 32 - 33 duy nhất - Xây tòa văn phòng, LH: 0912 639 ***",108,"Hoàng Mai, Hà Nội","416,67 ",45,Hoàng Mai
"Quỹ căn ngoại giao siêu vip nhà phố, liền kề, shophouse, biệt thự view hồ Vinhomes Cổ Loa","62,5 ","Đông Anh, Hà Nội","380,42 ",23.78,Đông Anh
"Bán nhà mặt phố Quận Ba Đình phố 2 chiều kinh doanh, có vỉa hè. Giá chỉ 410 tr/m2, sổ đỏ nở hậu",220,"Ba Đình, Hà Nội",410,90.2,Ba Đình
"Quỹ căn liền kề, biệt thự song lập, đơn lập giá tốt nhất tại Hud Mê Linh Central TT 30%, bank HT70%",300,"Mê Linh, Hà Nội",60,18,Mê Linh
Quỹ căn biệt thự Vinhomes Ocean Park T2/2025 - Giá tốt - Vị trí đẹp,"148,5 ","Gia Lâm, Hà Nội","193,94 ",28.8,Gia Lâm
